,,,,,,
BBVA México  |  Estado de Cuenta — Cuenta Empresas,,,,,,
Empresa:,INMOBILIARIA ALCEDINES DEL NORTE SA DE CV,,,Saldo inicial al 01/08/2026,,
Cuenta CLABE:,012320001234567890,,,"$245,820.00",,
Número de cuenta:,0112-3456-78,,,,,
Periodo:,01/08/2026 – 31/08/2026,,,,,
Fecha de emisión:,05/08/2026,,,,,
,,,,,,
Fecha Oper.,Fecha Valor,Concepto / Descripción,Referencia,Cargo,Abono,Saldo
2026-08-01,2026-08-01,PAGO NOMINA AGOSTO 2026,NOMINA082026,"$42,350.00",,"$203,470.00"
2026-08-02,2026-08-02,PAGO SERVICIOS CFE PLAZA IWOL,CFE00182026,"$8,420.00",,"$195,050.00"
2026-08-03,2026-08-03,SPEI RECIBIDO MARIA ELENA RODRIGUEZ TORRES,CP-2026-08-L8,,"$22,156.00","$217,206.00"
2026-08-03,2026-08-03,SPEI RECIBIDO JOSE LUIS GARCIA HERNANDEZ,CP-2026-08-L9,,"$22,156.00","$239,362.00"
2026-08-04,2026-08-04,SPEI RECIBIDO SOFIA PEREZ LUNA,CP-2026-08-L14,,"$11,020.00","$250,382.00"
2026-08-04,2026-08-04,SPEI RECIBIDO CARLOS MENDOZA VAZQUEZ,CP-2026-08-L11,,"$17,980.00","$268,362.00"
2026-08-04,2026-08-04,SPEI RECIBIDO ROBERTO JIMENEZ CASTILLO,CP-2026-08-L13,,"$17,980.00","$286,342.00"
2026-08-05,2026-08-05,SPEI RECIBIDO ANA PATRICIA MORALES SANCHEZ,CP-2026-08-L10,,"$17,980.00","$304,322.00"
2026-08-05,2026-08-05,SPEI RECIBIDO MIGUEL ANGEL GOMEZ RUIZ,CP-2026-08-L15,,"$11,020.00","$315,342.00"
2026-08-05,2026-08-05,SPEI RECIBIDO TATIANA CRUZ MENDEZ,CP-2026-08-L16,,"$11,020.00","$326,362.00"
2026-08-05,2026-08-05,SPEI RECIBIDO LUCIA FERNANDEZ REYES,CP-2026-08-L12,,"$17,980.00","$344,342.00"
2026-08-05,2026-08-05,SPEI RECIBIDO FERNANDO RAMIREZ ORTEGA,CP-2026-08-L17,,"$11,020.00","$355,362.00"
2026-08-06,2026-08-06,TRANSFERENCIA RECIBIDA / DEPOSITO,TRF00682026,,"$5,000.00","$360,362.00"
TOTALES DEL PERIODO,,,,"$50,770.00","$165,312.00","$360,362.00"
,,,,,,
Este estado de cuenta es un documento simulado generado por IRP — RANNIX Consulting para pruebas de conciliación bancaria. No tiene validez oficial.,,,,,,
